GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT5G01530.1	14715.0624300501	-0.851265515517591	0.0171136055338484	-49.7420320828305	0	0
AT1G55670.1	14192.6862418425	-1.04404947234665	0.0136115610637787	-76.7031398863525	0	0
AT4G38770.1	6710.87315844308	-1.37341845340396	0.0180356831933879	-76.1500653275762	0	0
AT5G01600.1	823.765329934819	-3.11971092194251	0.064813346006191	-48.1337735849113	0	0
AT4G38970.2	20220.5906824131	-0.864461100016998	0.0167145951976562	-51.7189372398452	0	0
AT1G67090.2	43416.4578731008	-1.01918520276304	0.0152423733322715	-66.8652565152176	0	0
AT4G03280.1	6297.36230639559	-0.872830217977995	0.0210670653399553	-41.4310300885908	0	0
AT2G10940.1	6612.82813459279	-1.13790638181755	0.02331563889109	-48.8044263823453	0	0
AT4G12550.1	727.278883078292	-2.59091885505194	0.06132429152441	-42.2494706525981	0	0
AT3G26520.1	6046.57676663528	-0.648936061895294	0.0168347011176298	-38.5475249819379	0	0
AT1G42970.1	11665.6411915386	-0.71944430308636	0.0146459764034839	-49.1223175066171	0	0
AT4G22485.1	982.112266523477	-2.63529094451539	0.0522270240832639	-50.4583784117974	0	0
AT1G73330.1	1632.0599360861	-1.6684281173853	0.037679754684225	-44.2791661295981	0	0
AT1G58290.1	1328.32478632755	-2.44489784150422	0.0579558073118077	-42.1855540437982	0	0
AT1G62510.1	2283.96004284493	-1.68858925067508	0.0324532482405091	-52.0314403711164	0	0
AT1G79040.1	19518.683779306	-0.48343731390848	0.0103130772947895	-46.876145702188	0	0
AT3G14210.2	762.965231375932	-2.6731509532723	0.0674018795799288	-39.6598873789912	0	0
AT3G46780.1	3278.63514918108	-1.13290091655594	0.0248596886862323	-45.571806262536	0	0
AT1G23310.1	7600.02551595473	-0.889490089908197	0.0173615221587009	-51.2334161588719	0	0
AT1G31330.1	9569.33133485111	-1.76329588686159	0.0151653896117968	-116.271057453741	0	0
AT4G02770.1	16512.903943835	-1.08455844712952	0.0116897686205885	-92.7784357698366	0	0
AT5G25980.2	1508.8693778273	-1.7131287607655	0.0438891198896428	-39.0331080931466	0	0
AT1G29920.1	26199.0502351623	-0.781942791088465	0.0143775065503703	-54.3865369387242	0	0
AT3G56940.1	8318.19172587828	-0.789696637446406	0.0153174987425319	-51.5551951869052	0	0
AT1G03130.1	5290.12690645433	-1.53658747393022	0.019945441123876	-77.0395332139746	0	0
